Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000107968,MAP3K8,protein_coding,262,290,308,406,187,46,74,183
ENSG00000107984,DKK1,protein_coding,0,1,1,0,1142,358,899,2418
ENSG00000108001,EBF3,protein_coding,179,204,121,175,137,34,82,270
ENSG00000108010,GLRX3,protein_coding,2361,2926,3051,3270,2250,658,807,2029
ENSG00000108018,SORCS1,protein_coding,0,0,0,1,2,0,5,17
ENSG00000108021,TASOR2,protein_coding,4519,5658,4845,5020,2868,919,1307,3540
ENSG00000108039,XPNPEP1,protein_coding,4325,5183,2933,3651,1693,622,501,1305
ENSG00000108055,SMC3,protein_coding,9202,10582,9329,9511,1019,293,331,1083
ENSG00000108061,SHOC2,protein_coding,4987,5652,2683,2885,2353,670,597,1662
ENSG00000108064,TFAM,protein_coding,4300,5080,5315,5995,1582,533,654,1656
ENSG00000108091,CCDC6,protein_coding,6482,7439,5299,6001,4668,1604,1617,5097
ENSG00000108094,CUL2,protein_coding,2312,2650,2964,3131,11519,3796,3651,10665
ENSG00000108100,CCNY,protein_coding,2726,3279,2201,2692,9947,3530,2772,7740
ENSG00000108106,UBE2S,protein_coding,1800,2013,1924,2768,1353,449,846,2076
ENSG00000108107,RPL28,protein_coding,23287,26491,29009,43988,9139,3635,4642,12208
ENSG00000108175,ZMIZ1,protein_coding,14884,16260,7467,9458,4623,1568,1162,3147
ENSG00000108176,DNAJC12,protein_coding,569,645,542,793,33,10,40,77
ENSG00000108179,PPIF,protein_coding,2597,3210,4073,5886,4273,1486,1896,4651
ENSG00000108187,PBLD,protein_coding,656,769,999,1142,26,11,24,37
ENSG00000108219,TSPAN14,protein_coding,3698,3945,2425,3653,0,0,0,0
ENSG00000108231,LGI1,protein_coding,0,3,0,3,0,0,1,2
ENSG00000108239,TBC1D12,protein_coding,499,624,625,669,495,156,132,395
ENSG00000108242,CYP2C18,protein_coding,0,0,0,0,1,1,0,0
ENSG00000108244,KRT23,protein_coding,0,0,1,1,0,0,1,0
ENSG00000108255,CRYBA1,protein_coding,0,0,0,0,0,0,0,0
ENSG00000108256,NUFIP2,protein_coding,10489,12681,12885,14490,3165,918,1130,2938
ENSG00000108262,GIT1,protein_coding,2867,3107,2127,2770,477,179,267,709
ENSG00000108298,RPL19,protein_coding,24589,27376,31368,53226,9225,3288,4361,10633
ENSG00000108306,FBXL20,protein_coding,941,955,848,1082,656,258,236,624
ENSG00000108309,RUNDC3A,protein_coding,35,36,23,71,9,1,5,9
ENSG00000108312,UBTF,protein_coding,3858,4500,5064,6660,937,337,474,1248
ENSG00000108342,CSF3,protein_coding,0,1,0,0,11,9,17,43
ENSG00000108344,PSMD3,protein_coding,4912,5766,4678,6482,2845,981,1110,2962
ENSG00000108349,CASC3,protein_coding,6429,7266,6314,7841,1489,581,507,1451
ENSG00000108352,RAPGEFL1,protein_coding,281,317,297,484,32,15,16,46
ENSG00000108370,RGS9,protein_coding,188,184,136,100,198,64,103,277
ENSG00000108375,RNF43,protein_coding,574,633,298,431,251,71,75,222
ENSG00000108379,WNT3,protein_coding,236,244,133,160,33,16,15,52
ENSG00000108381,ASPA,protein_coding,9,6,8,13,0,0,0,0
ENSG00000108384,RAD51C,protein_coding,2040,2211,2575,3184,364,101,198,493
ENSG00000108387,SEPTIN4,protein_coding,8,8,12,48,46,15,27,84
ENSG00000108389,MTMR4,protein_coding,2931,3511,3240,3345,1359,480,512,1594
